"","id","group","age","gender","ic_scoops","ic_rt","ffmq.X1","ffmq.X2","ffmq.X3","ffmq.X4","ffmq.X5","ffmq.X6","ffmq.X7","ffmq.X8","ffmq.X9","ffmq.X10","ffmq.X11","ffmq.X12","ffmq.X13","ffmq.X14","ffmq.X15","ffmq.X16","ffmq.X17","ffmq.X18","ffmq.X19","ffmq.X20","ffmq.X21","ffmq.X22","ffmq.X23","ffmq.X24","ffmq.X25","ffmq.X26","ffmq.X27","ffmq.X28","ffmq.X29","ffmq.X30","ffmq.X31","ffmq.X32","ffmq.X33","ffmq.X34","ffmq.X35","ffmq.X36","ffmq.X37","ffmq.X38","ffmq.X39"
"21", 949,1,25.45493,"m",19.037540,429.1953,4,2,3,4,2,4,5,2,4,2,3,5,2,2,4,3,2,3,3,2,5,2,3,5,4,4,4,3,3,3,2,5,5,3,3,3,3,1,3
"22", 883,1,52.28977,"m",17.463955,416.0860,1,3,5,2,4,3,2,3,3,5,1,3,3,4,1,2,4,4,2,1,3,1,3,2,5,1,3,2,3,5,1,1,4,1,5,2,2,4,3
"23", 683,1,36.98388,"f",20.307180,405.0963,1,3,4,4,2,2,2,1,4,4,2,3,1,5,2,1,3,2,4,4,3,2,2,4,4,3,3,2,4,5,3,1,3,2,4,1,3,1,4
"24", 923,1,40.41292,"f",19.429201,408.8734,2,2,5,2,3,1,5,4,4,4,1,2,2,5,2,3,5,3,3,2,5,4,4,2,5,1,3,5,2,5,2,4,4,5,5,1,4,4,5
"25", 107,1,40.88951,"m",18.809097,458.6937,4,2,4,4,1,4,3,1,4,2,4,1,1,2,4,3,2,1,5,4,3,1,1,3,3,2,1,2,4,3,4,1,5,1,4,2,1,1,3
"26", 176,1,31.30284,"m",16.309382,406.1933,2,4,5,3,4,1,2,3,3,3,1,2,4,3,2,1,4,3,3,1,3,1,2,2,5,1,3,3,2,5,1,3,3,2,5,2,4,4,5
"27", 477,1,38.33885,"m",14.205372,320.3725,1,3,4,4,5,1,2,4,3,3,1,1,4,5,1,2,4,4,2,1,3,2,3,3,4,1,1,3,2,3,1,1,2,2,3,1,2,3,2
"28", 941,1,31.34070,"m",16.809334,363.9817,3,3,5,4,1,2,2,2,5,5,1,3,2,4,1,3,5,1,5,4,5,3,2,4,4,3,4,2,4,5,2,1,3,1,5,3,3,2,4
"29",  83,1,33.93294,"f",14.009742,422.9938,3,1,2,2,2,1,3,2,2,4,1,1,5,2,3,1,2,3,2,3,2,3,3,2,4,2,3,4,2,2,3,2,2,3,4,3,2,2,2
"30", 519,1,36.16865,"f",20.767386,418.9584,3,2,3,5,3,2,3,1,4,3,3,4,1,2,3,1,4,1,3,2,5,1,1,5,4,2,1,1,2,4,2,3,3,1,2,3,1,1,2
"31", 134,1,23.94610,"f",19.575235,431.7234,3,2,4,4,5,2,3,5,2,5,1,1,4,5,3,3,5,4,2,4,5,3,4,3,5,3,2,4,3,5,3,5,4,5,4,1,4,5,5
"32", 856,1,26.42133,"f",19.018307,338.2781,1,5,2,5,4,2,4,2,5,5,2,4,3,4,1,3,3,5,4,2,5,3,4,5,5,1,3,5,5,4,1,2,5,5,4,1,4,3,4
"33", 497,1,41.13548,"f",18.865659,371.3810,3,2,3,5,3,4,2,3,4,4,2,2,1,5,4,2,4,3,3,3,2,3,2,3,4,4,4,3,2,5,4,1,2,2,4,3,1,2,3
"34", 767,1,21.50643,"m",23.975377,370.3268,1,5,2,4,2,1,4,2,4,2,2,2,4,3,1,2,2,2,5,1,3,3,1,5,2,1,3,4,5,2,1,1,5,2,2,1,3,2,3
"35", 637,1,36.24277,"f",24.191933,360.9785,1,4,4,3,1,1,5,1,3,3,4,4,2,3,1,5,3,1,2,2,3,5,3,4,4,3,4,1,4,4,2,3,2,4,3,4,4,1,4
"36",  88,1,28.60474,"m",26.869782,335.6339,4,4,3,5,5,3,1,5,3,3,3,3,4,3,3,3,3,3,2,3,3,5,5,4,2,2,3,5,5,3,3,3,4,5,4,3,4,4,2
"37", 740,1,30.94924,"f",21.536173,435.3363,3,3,5,5,5,3,3,5,5,4,3,3,5,3,2,4,4,5,5,4,5,2,5,5,3,1,4,5,4,2,3,4,5,5,3,3,4,5,2
"38", 494,1,53.90183,"f",25.809871,351.9293,4,2,5,5,2,2,3,3,5,4,4,1,2,5,4,1,5,1,5,4,5,3,2,4,5,2,2,3,4,4,3,2,3,2,5,4,2,4,5
"39", 776,1,49.26982,"f",13.707528,373.5449,2,3,2,5,4,1,4,3,3,2,1,5,2,2,2,3,3,3,5,1,4,4,3,2,4,1,3,5,5,4,1,4,5,2,3,1,3,4,2
"40", 811,1,27.18569,"f",23.407131,366.7956,1,1,3,5,1,1,1,3,5,4,2,3,3,3,3,2,3,3,5,2,5,1,2,5,3,1,2,3,5,5,3,2,5,1,4,3,2,2,4
"41", 148,1,33.16052,"f",21.432395,418.9573,2,2,4,4,5,2,2,5,5,5,2,2,4,5,3,1,5,3,3,1,4,1,4,4,3,2,1,3,4,4,2,1,4,4,3,2,1,4,5
"42",  64,1,46.84890,"m",18.723258,272.8318,4,2,5,4,5,4,2,5,2,5,4,2,5,4,4,2,5,5,5,4,4,2,5,3,5,4,1,3,4,4,4,1,5,5,5,4,1,5,5
"43", 194,1,42.25446,"m",21.186975,380.8971,4,3,2,5,3,1,3,2,4,4,3,4,4,3,2,3,5,4,5,3,4,2,4,3,4,3,4,5,5,4,4,3,5,4,5,1,3,5,5
"44", 596,1,48.77367,"f",20.306316,393.5547,2,2,4,4,4,1,1,4,3,4,3,2,2,4,1,1,5,3,4,1,2,1,2,2,5,1,1,1,3,5,2,1,3,2,4,3,3,2,5
"45", 161,1,21.58731,"m",26.038883,403.6106,1,1,4,5,2,4,2,2,4,3,3,1,2,3,2,1,4,4,3,2,4,1,3,3,5,2,2,3,2,4,2,1,4,2,4,1,1,4,5
"46", 763,1,39.28679,"m",12.734327,474.2534,1,2,5,5,4,3,2,4,4,4,4,1,3,3,4,1,5,3,5,2,3,3,4,4,5,4,3,3,5,5,3,3,5,3,3,3,2,3,5
"47", 384,1,26.80221,"f",21.638132,321.1416,2,2,5,5,3,3,5,4,5,5,2,3,4,5,4,4,5,5,5,2,5,4,4,4,5,4,5,2,5,5,3,5,5,2,5,2,5,2,5
"48", 479,1,26.30917,"m",25.098996,448.3720,2,2,4,5,1,2,4,1,5,4,1,3,2,5,4,2,4,1,5,1,5,4,2,5,5,2,4,3,2,5,2,3,4,1,4,2,2,1,5
"49", 774,1,25.42329,"m",20.704666,367.2882,2,4,5,5,2,3,5,5,5,4,1,5,4,3,1,4,4,1,5,2,5,4,1,5,4,3,5,2,5,4,4,3,5,4,5,1,5,4,4
"50", 537,1,51.89649,"f",20.369469,381.6992,1,1,5,3,4,4,2,3,2,3,4,2,2,5,1,2,4,2,3,3,3,3,3,4,3,4,1,3,4,4,4,4,2,5,3,3,2,2,4
"51", 819,1,29.68029,"f",22.027868,368.4968,3,2,3,5,3,3,1,4,5,5,3,1,4,3,3,2,5,5,5,3,5,2,2,5,4,3,1,4,5,4,2,1,5,2,3,4,3,3,5
"52", 698,1,41.64889,"f",23.370628,485.3412,3,4,5,2,2,1,3,3,4,5,4,3,1,3,3,2,5,2,3,2,4,3,3,4,4,2,3,2,3,5,3,2,4,1,4,2,1,2,3
"53",  92,1,28.91570,"f",15.450036,326.0653,4,2,3,3,4,2,3,4,3,3,2,3,5,3,1,2,4,3,3,2,5,3,5,5,2,2,3,4,2,2,1,1,4,2,2,3,2,4,3
"54", 885,1,30.72478,"f",25.038565,419.6613,1,1,4,5,3,1,1,4,5,5,1,1,3,4,2,1,4,3,5,1,3,1,5,4,5,1,1,4,4,4,1,1,4,4,4,1,1,3,5
"55",  71,1,52.46897,"f",19.723095,498.1483,2,5,5,2,4,1,4,5,2,5,2,3,5,4,1,4,3,5,2,2,4,4,5,4,3,3,3,5,2,4,3,2,3,5,4,3,3,4,5
"56", 426,1,29.87945,"f",19.951323,329.9017,3,3,5,4,5,2,4,4,5,5,1,4,2,5,1,3,5,2,2,3,5,2,5,3,5,3,5,4,5,5,1,4,4,2,5,1,2,3,5
"57", 177,1,18.76917,"m",14.134511,322.8201,3,5,5,4,3,4,5,3,3,5,3,4,3,4,3,5,4,4,3,1,4,5,4,3,3,3,5,3,3,3,2,3,3,3,2,4,3,3,3
"58", 317,1,28.49155,"m",21.205879,348.2699,3,4,5,4,4,2,4,1,3,2,3,4,5,4,2,5,4,2,2,1,5,5,3,4,4,1,4,4,2,3,2,5,5,3,4,2,4,2,2
"59", 160,1,37.09467,"m",18.916070,451.1702,1,2,4,3,3,1,2,3,4,5,1,3,3,4,1,4,4,5,3,2,3,3,3,5,5,2,3,5,2,3,2,1,4,3,4,2,2,4,2
"60", 974,1,21.89026,"m",24.093916,349.5727,3,5,2,5,5,2,4,5,4,2,4,5,5,3,1,2,2,4,5,2,4,5,5,5,2,2,3,5,5,3,1,2,5,5,3,2,4,5,2
"61", 273,1,26.00953,"f",25.045196,417.2330,1,5,2,5,3,3,2,5,5,5,2,5,3,4,3,2,2,3,4,3,5,3,3,4,4,4,5,2,3,4,1,2,4,3,4,4,4,4,5
"62", 328,1,36.20622,"f",18.320612,431.6303,2,3,5,5,3,1,4,5,5,4,2,5,3,5,2,5,5,5,3,3,4,4,5,4,4,1,3,3,4,5,3,3,5,3,4,1,3,3,4
"63",  91,1,48.19202,"f",23.274528,345.8289,2,2,4,5,4,2,3,5,5,3,3,2,4,4,3,3,5,3,4,4,5,3,3,4,5,1,3,4,5,5,3,3,3,4,5,3,4,5,5
"64", 466,1,41.42952,"f",20.913770,361.8024,3,5,5,2,2,4,4,3,2,5,2,2,4,5,3,5,5,3,3,2,2,3,4,2,5,4,5,5,2,5,3,5,3,3,4,4,3,2,3
"65", 187,1,39.13446,"f",28.590902,284.1675,3,4,4,5,1,2,4,1,2,4,2,2,3,5,1,5,5,1,5,3,3,5,1,4,5,2,4,1,5,5,2,4,4,1,5,1,3,2,5
"66", 270,1,34.40845,"f",20.114502,503.4856,1,3,3,4,3,3,1,4,3,5,3,3,1,5,4,1,4,3,5,1,4,2,1,2,4,3,1,2,5,5,3,2,2,4,3,3,2,5,5
"67", 411,1,21.97035,"m",21.600103,402.0126,2,4,4,4,4,1,4,5,2,4,2,4,4,5,1,4,3,4,2,1,3,4,3,3,5,2,3,3,4,5,1,4,2,3,4,1,5,5,5
"68", 849,1,20.18353,"m",23.286910,397.9852,2,2,4,5,3,3,2,1,5,3,3,3,1,4,1,2,4,2,5,2,5,4,3,5,5,2,1,3,4,2,4,1,5,2,3,3,3,2,3
"69",  60,1,38.93997,"f",23.406146,447.3617,3,4,5,4,2,3,5,1,5,5,1,3,2,4,2,3,4,2,5,4,5,3,2,5,5,1,4,1,4,4,1,4,4,2,3,3,3,2,5
"70", 734,1,18.89244,"f",20.214020,398.5666,1,3,3,3,1,2,4,2,3,3,3,4,2,5,3,5,2,3,2,3,3,3,1,2,2,2,4,1,2,2,2,4,5,1,2,4,4,3,2
"71", 644,1,23.20921,"m",20.730998,448.5272,3,3,2,5,2,4,2,4,4,4,4,3,1,3,2,2,3,2,4,4,3,1,2,3,3,4,1,2,4,3,1,3,4,1,2,3,2,2,2
"72", 238,1,38.67023,"f",16.450562,369.3893,3,1,3,4,5,4,2,4,4,2,2,1,4,3,2,1,2,5,4,3,2,2,5,4,4,2,2,4,5,2,1,2,4,5,3,3,2,3,2
"73",  30,1,39.18900,"m",25.318933,361.0369,4,1,4,5,2,4,4,2,5,4,4,1,3,3,4,4,5,2,5,4,5,2,2,5,5,4,2,2,5,5,2,3,5,2,2,4,1,1,4
"74",  39,1,35.37248,"m",27.845280,424.6866,2,1,5,5,4,4,2,5,4,4,1,1,5,4,1,1,5,5,3,2,5,1,4,4,5,2,2,5,5,3,2,3,5,5,4,2,1,5,4
"75",  66,1,27.82166,"m",21.775783,445.0721,1,3,5,4,4,1,2,3,5,4,1,4,2,5,1,2,4,5,3,1,4,4,5,3,5,1,5,5,4,5,1,2,2,3,3,2,4,5,5
"76", 575,1,26.64213,"m",24.873140,384.6929,2,3,5,4,2,3,4,3,3,5,2,5,2,5,2,3,5,2,4,3,3,1,3,4,5,3,2,2,3,5,4,4,4,3,5,3,3,2,5
"77", 520,1,48.94740,"nb",21.992748,398.8897,1,4,2,5,4,3,5,4,4,2,1,4,4,5,1,5,2,4,3,1,4,5,3,5,5,2,5,3,4,3,1,4,5,4,2,1,5,4,3
"78",  49,1,23.28501,"f",20.969439,356.8743,1,1,5,5,3,1,1,3,4,5,2,1,2,3,1,3,4,2,5,1,5,1,2,5,4,1,2,2,5,3,1,2,5,4,4,1,1,5,3
"79",  36,1,49.07795,"f",20.330049,443.9833,1,1,5,4,4,3,1,2,3,4,2,2,3,5,1,3,4,2,3,3,4,2,4,3,5,3,1,2,3,4,1,1,3,2,5,1,1,4,5
"80", 111,1,31.55030,"m",18.155749,461.7266,2,1,5,5,1,2,2,3,3,5,3,1,2,5,4,2,5,2,5,2,5,1,2,5,4,4,3,3,5,5,4,1,5,5,5,1,1,4,5
"81", 256,1,45.70028,"m",23.908602,378.1094,1,3,3,5,2,1,1,3,5,5,1,1,2,5,1,1,3,4,3,2,5,2,3,5,5,1,2,3,5,5,1,1,5,2,3,1,2,2,3
"82", 250,1,20.72296,"f",24.477660,343.4573,1,4,4,2,4,1,2,5,2,5,1,3,5,5,2,2,4,5,2,2,4,2,4,3,5,2,3,2,3,5,1,3,3,5,5,1,3,4,5
"83", 738,1,40.82272,"f",22.964858,491.2564,1,3,3,3,5,1,2,3,3,4,1,4,3,5,1,3,4,4,3,1,3,3,5,3,4,2,2,5,2,4,1,3,3,3,5,1,1,3,4
"84", 985,1,42.73849,"f",22.118083,383.3131,1,5,5,4,3,1,4,3,4,5,3,4,4,4,2,5,3,4,5,1,4,4,3,5,3,1,5,5,5,3,3,5,5,3,5,3,5,3,4
"85",  12,1,20.12231,"m",17.122894,362.5514,3,4,4,2,4,1,1,3,2,4,2,3,5,5,3,3,4,5,2,2,2,3,2,2,3,1,2,5,2,5,1,2,2,4,3,1,4,3,4
"86", 319,1,21.46327,"f",27.782752,336.4321,1,2,3,5,4,1,3,5,5,3,1,1,3,2,1,2,4,3,5,1,5,1,4,5,4,1,3,2,5,2,1,1,5,3,3,1,2,4,3
"87", 168,1,36.03434,"m",25.586295,352.0658,2,1,4,5,3,2,1,3,5,4,1,1,3,4,3,3,2,5,4,1,5,2,4,5,5,1,2,4,5,3,3,4,5,4,3,2,4,1,4
"88", 254,1,43.82024,"f",17.762008,381.9792,1,2,3,5,4,1,1,4,4,3,1,3,4,3,1,3,2,4,5,2,5,4,5,2,3,1,3,4,4,5,1,5,5,3,5,1,3,4,2
"89", 837,1,29.42354,"f",27.258539,377.6747,2,4,5,2,4,1,5,4,5,3,1,4,4,3,1,5,2,4,4,4,3,5,4,4,4,3,2,5,4,4,2,3,4,5,5,2,4,5,5
"90", 826,1,39.55306,"f",23.504948,380.0653,4,3,5,5,1,3,1,3,5,5,3,2,1,5,2,2,5,1,3,3,2,1,1,5,5,3,1,2,5,4,2,3,4,2,5,1,2,2,4
"91", 754,1,51.63543,"m",18.806145,437.8889,1,3,5,3,2,2,1,1,4,5,1,3,3,5,1,2,4,2,4,2,4,3,2,2,4,1,2,2,3,4,2,3,2,4,5,1,2,3,4
"92",  78,1,49.84194,"f",25.675553,435.8384,1,2,4,5,2,2,3,1,3,5,4,3,3,3,4,2,3,4,5,3,5,2,2,5,3,4,2,5,5,4,2,3,3,5,4,1,3,2,5
"93", 749,1,47.98862,"f",17.683961,504.0445,1,4,3,3,3,1,3,5,2,5,1,3,4,2,1,5,2,4,2,3,2,5,2,2,3,2,5,4,3,3,3,4,4,3,4,1,4,4,4
"94", 926,1,23.23818,"m",25.578811,337.5558,4,5,5,3,2,2,1,2,3,5,1,4,4,5,1,2,5,2,3,2,4,5,4,5,5,2,3,2,4,5,4,2,4,1,5,3,1,4,5
"95", 870,1,19.31336,"f",19.785899,350.7331,2,3,5,2,3,4,3,2,2,5,2,3,4,4,2,2,4,4,3,3,2,4,5,2,4,4,4,3,3,4,2,3,3,3,4,2,2,5,4
"96", 695,1,27.40893,"f",23.406166,353.2635,1,4,4,3,3,1,5,5,5,3,2,4,5,5,1,3,5,5,5,1,5,5,1,5,5,1,5,5,5,4,1,3,4,3,4,1,4,2,5
"97", 795,1,18.79277,"f",22.124539,430.6829,3,3,2,5,3,2,3,3,3,2,2,2,3,4,2,2,3,2,3,3,5,3,2,4,3,3,3,2,5,3,3,1,5,4,3,2,2,3,4
"98", 156,1,26.72233,"m",27.491930,352.3265,1,4,3,5,4,1,5,4,5,3,1,5,4,4,1,5,3,5,3,1,4,3,2,4,3,1,4,5,4,2,1,5,4,5,3,1,5,3,3
"99", 433,1,26.66477,"m",26.738956,411.0749,1,3,5,5,5,2,2,4,4,5,1,3,3,5,1,3,4,5,5,1,4,5,4,5,5,3,1,4,5,5,2,5,4,3,5,1,3,4,5
"100", 887,1,37.62667,"f",25.604402,440.3123,3,2,4,3,3,4,3,2,2,3,3,1,2,3,2,2,4,2,2,3,4,2,3,2,4,4,1,2,4,5,2,1,2,1,2,3,1,1,4
"101",  19,1,48.15091,"m",21.676900,416.3030,2,3,3,3,4,1,2,5,3,2,1,3,4,2,1,3,4,5,4,1,5,3,5,5,3,1,2,5,5,3,1,4,4,5,3,1,2,4,5
"102", 569,1,35.14476,"m",22.633632,357.8701,4,4,3,5,4,1,5,5,5,1,2,5,5,5,3,5,4,5,4,3,4,4,5,3,5,1,5,5,3,3,2,5,5,5,4,3,5,5,1
"103", 646,1,44.35273,"m",12.629223,436.7905,3,2,4,1,4,3,2,4,3,5,3,4,5,3,3,3,4,3,3,4,1,4,2,2,3,4,2,5,1,4,3,3,3,5,4,4,5,5,4
"104", 310,1,26.99151,"f",22.802969,494.4340,4,5,4,5,5,2,5,5,4,5,3,4,4,4,2,5,2,5,3,2,3,5,5,3,5,2,5,4,4,3,2,3,4,4,4,2,4,4,5
"105", 294,1,53.57633,"f",16.834303,411.5291,2,4,3,1,4,4,3,5,2,1,4,4,3,2,4,4,4,2,2,3,2,4,3,2,1,4,4,5,3,3,3,3,2,5,3,4,4,5,4
"106", 588,1,20.13691,"f",27.274028,469.4957,3,5,4,2,5,2,3,5,3,5,1,4,4,5,1,5,4,5,1,1,2,4,4,2,4,1,5,5,3,3,4,5,2,5,4,2,5,5,4
"107", 629,1,43.27649,"f",20.551308,393.4363,1,5,4,3,2,1,3,2,2,4,1,5,2,3,1,3,4,3,2,1,2,3,2,4,5,1,5,2,2,4,1,5,4,2,2,1,5,2,4
"108", 121,1,26.36606,"f",14.573430,425.2063,2,2,2,2,3,2,3,4,2,2,2,4,4,3,1,4,2,4,2,2,3,4,4,2,4,1,2,5,1,4,4,5,2,4,2,1,5,2,2
"109", 396,1,51.71018,"f",16.292517,436.1965,3,4,4,3,5,1,5,4,2,3,1,4,5,5,2,5,2,5,2,2,2,4,5,1,3,1,5,5,1,4,1,5,1,5,3,2,5,4,2
"110", 106,1,37.73379,"f",22.628816,291.0748,2,5,3,5,4,2,4,3,5,3,1,4,5,2,2,3,2,4,3,1,4,3,5,5,2,3,5,5,5,3,2,5,4,5,2,4,5,5,3
"111", 696,1,24.99853,"f",12.823096,490.7223,1,4,1,3,4,1,5,5,3,1,1,5,4,4,1,5,1,4,2,1,1,5,5,2,1,1,4,5,1,3,1,4,2,3,1,1,5,5,2
"112", 790,1,27.34950,"m",20.720883,334.9940,1,3,4,3,5,4,3,4,1,1,2,3,5,1,2,4,2,5,2,2,2,3,5,2,3,2,3,5,2,4,4,2,3,5,3,3,2,4,4
"113", 534,1,40.99094,"f",19.632437,404.1019,3,5,5,4,3,3,4,3,4,3,4,5,4,2,4,3,5,2,2,3,4,5,2,4,3,3,5,2,2,5,2,4,3,2,4,4,3,2,2
"114", 623,1,41.37594,"m",25.871432,399.8074,1,4,3,3,3,3,4,5,3,4,4,5,4,4,2,5,4,3,3,2,4,5,4,3,4,2,5,5,3,5,3,5,4,3,3,2,3,5,3
"115",  18,1,40.67276,"m",26.084827,294.9271,2,5,5,3,5,2,5,4,3,5,3,4,4,5,1,4,4,2,4,2,1,5,4,2,4,1,5,3,2,5,2,5,4,3,5,2,5,3,5
"116", 285,1,34.07433,"m",15.106570,378.0765,1,2,5,4,3,1,5,4,4,4,1,2,2,4,1,4,5,3,5,2,3,3,4,2,4,3,3,2,3,4,2,4,4,3,4,1,3,4,5
"117", 940,1,18.87362,"m",24.777811,345.4298,4,3,2,2,3,4,5,4,3,1,4,5,4,3,2,3,1,4,1,2,3,5,3,3,2,3,4,5,2,1,3,5,4,3,2,3,5,3,2
"118", 947,1,35.42506,"f",24.860090,439.5796,3,5,3,3,3,3,5,3,3,1,3,4,5,1,3,5,4,4,5,3,3,5,3,4,1,3,5,4,3,2,4,5,5,5,1,2,5,4,3
"119", 230,1,30.49673,"nb",13.585698,399.3161,1,5,3,4,3,3,5,4,3,3,1,5,5,1,1,5,2,3,2,1,5,4,5,2,1,1,5,3,4,2,1,4,4,4,2,3,5,4,3
"120", 105,1,42.41118,"nb",22.487327,420.5121,1,4,3,2,5,1,4,3,1,1,1,4,5,2,1,5,4,3,3,1,1,3,3,3,5,1,3,5,3,3,1,2,1,5,4,1,3,5,3
"121", 195,1,38.81373,"f",29.942023,482.0894,4,4,3,4,3,4,3,3,5,5,4,4,5,4,4,5,4,2,4,4,5,5,3,5,3,4,3,3,4,3,4,5,4,2,3,4,4,4,3
"122", 593,1,31.93648,"f",18.165084,469.2728,1,4,3,2,4,2,4,5,2,3,2,2,3,4,1,4,4,4,3,1,3,3,4,3,3,2,3,3,1,2,2,2,1,3,3,2,3,5,5
"123", 796,1,29.33821,"f",23.292164,453.4145,4,4,1,3,3,3,5,5,5,3,2,5,4,1,2,5,1,3,4,2,4,3,2,2,1,3,5,3,4,1,1,4,4,4,1,3,4,5,1
"124", 721,1,33.73684,"m",28.883605,410.5150,2,4,5,2,5,4,4,3,4,5,4,5,5,5,3,4,4,5,5,3,3,3,5,5,5,4,3,5,4,3,2,5,3,5,5,2,3,5,5
"125", 954,1,50.78617,"f",19.761101,422.4528,2,3,1,3,5,1,4,5,4,1,1,4,5,2,2,2,3,5,4,2,3,2,5,3,2,2,2,5,2,3,1,4,2,5,3,1,4,5,1
"126", 678,1,23.76535,"f",21.944408,387.9326,1,5,3,4,3,1,3,5,3,4,1,4,5,2,2,2,2,4,3,1,3,2,2,3,3,3,2,5,1,3,3,5,2,3,5,1,4,4,4
"127", 394,1,23.58217,"m",21.060561,375.7967,1,5,3,4,5,1,5,3,4,4,3,5,4,5,2,2,3,4,5,1,4,4,3,5,4,1,5,2,5,4,3,3,4,4,3,3,5,3,4
"128", 821,1,43.49547,"f",17.632042,378.7805,2,2,4,4,2,3,4,3,4,5,2,2,4,5,3,2,4,5,2,3,3,2,5,3,5,3,3,4,4,4,2,2,3,5,5,3,2,4,3
