"","id","group","age","gender","ffmq.X1","ffmq.X2","ffmq.X3","ffmq.X4","ffmq.X5","ffmq.X6","ffmq.X7","ffmq.X8","ffmq.X9","ffmq.X10","ffmq.X11","ffmq.X12","ffmq.X13","ffmq.X14","ffmq.X15","ffmq.X16","ffmq.X17","ffmq.X18","ffmq.X19","ffmq.X20","ffmq.X21","ffmq.X22","ffmq.X23","ffmq.X24","ffmq.X25","ffmq.X26","ffmq.X27","ffmq.X28","ffmq.X29","ffmq.X30","ffmq.X31","ffmq.X32","ffmq.X33","ffmq.X34","ffmq.X35","ffmq.X36","ffmq.X37","ffmq.X38","ffmq.X39","ic_scoops","ic_rt"
"16", 907,1,50.57210,"m",1,4,5,5,3,1,3,3,5,4,1,2,5,5,1,2,4,4,3,1,4,3,1,3,5,1,1,3,5,5,3,2,4,2,3,1,5,5,4,13.254213,443.6843
"17", 201,1,40.01877,"f",1,4,5,5,2,1,4,1,5,5,2,3,2,5,3,4,4,2,4,2,4,4,2,5,4,4,3,2,5,4,2,3,5,3,5,1,4,2,5,25.232589,534.9151
"18", 476,1,28.64108,"f",3,4,3,4,1,2,4,3,2,5,1,4,1,5,3,3,5,1,5,2,3,1,3,5,5,3,2,1,2,5,3,5,3,1,5,3,3,1,5,24.059374,404.8425
"19", 908,1,54.19246,"f",4,3,3,4,2,2,2,4,5,5,2,1,5,2,2,4,3,4,5,2,3,2,3,4,3,3,4,1,5,4,2,1,5,3,4,1,4,3,3,19.965166,409.7364
"20", 603,1,30.33511,"m",3,2,5,2,3,2,2,3,3,5,2,2,2,2,3,1,4,3,3,2,3,3,5,4,5,3,2,3,4,2,2,2,4,3,5,2,4,2,3,16.426942,392.4473
"21", 324,1,53.56116,"f",3,4,4,4,5,1,3,4,4,3,2,2,4,4,2,2,4,4,5,1,4,4,2,4,2,2,2,4,4,4,1,4,5,4,3,2,3,4,4,14.337673,381.3062
"22", 519,1,51.57516,"f",2,3,3,4,4,3,2,4,5,5,3,1,3,5,1,1,5,4,4,2,5,2,2,4,4,1,1,3,5,4,1,1,5,2,5,2,2,3,5,14.545830,437.9410
"23", 168,1,20.51766,"f",3,4,5,3,1,3,5,1,3,4,1,3,1,5,1,5,5,1,2,2,3,4,3,4,3,2,5,2,4,5,1,5,4,1,5,3,5,2,5,25.396478,336.1045
"24", 277,1,53.19828,"f",3,1,5,3,4,3,3,3,2,5,3,3,1,5,3,4,5,2,2,1,4,3,2,3,5,1,2,1,2,5,2,4,4,1,5,2,1,2,5,20.321585,419.5016
"25", 465,1,39.03689,"f",2,4,3,2,1,3,2,3,2,5,2,3,4,2,2,5,3,4,4,1,3,3,4,3,3,2,2,5,3,5,1,3,3,5,5,2,2,2,4,22.589335,424.9341
"26", 133,1,31.62700,"f",1,4,5,5,2,1,5,2,5,5,2,5,3,5,1,5,4,1,5,2,4,5,2,5,5,1,5,2,4,5,2,4,3,2,5,2,5,1,5,21.700648,421.0156
"27", 399,1,31.51693,"m",1,4,2,4,5,1,5,5,4,3,2,3,4,2,1,5,3,3,2,2,5,4,4,3,3,1,4,5,2,3,2,3,4,5,4,2,5,4,2,19.948620,385.5519
"28", 219,1,35.19990,"f",2,5,5,3,3,1,3,3,5,4,3,3,1,2,2,3,5,1,4,1,4,4,2,5,4,4,2,1,5,4,4,3,4,2,4,3,3,1,5,18.340631,367.5548
"29", 495,1,24.53713,"f",2,5,3,4,3,2,3,3,5,4,2,3,3,2,3,4,3,1,5,1,4,2,1,4,5,1,5,5,4,5,2,3,4,4,3,1,2,3,5,24.455981,412.3415
"30", 300,1,24.67171,"f",2,3,5,5,5,1,3,5,5,5,2,4,5,5,2,3,5,3,5,2,5,3,3,4,5,1,3,5,5,5,1,2,2,4,5,2,3,5,5,25.495541,434.8502
"31", 151,1,23.26354,"m",3,2,4,5,1,4,1,5,5,4,4,1,2,5,4,1,4,4,5,2,5,1,2,5,5,2,4,3,5,4,3,1,4,1,5,3,2,2,3,23.278133,476.7201
"32",  43,1,32.57263,"f",2,2,4,4,4,1,3,5,2,2,2,1,3,2,1,3,4,2,3,1,3,2,2,3,5,1,2,4,3,5,1,2,3,3,4,1,2,2,3,18.164777,468.6056
"33", 360,1,40.58675,"m",2,2,3,4,3,1,1,3,5,2,1,1,3,2,1,2,3,5,5,1,5,2,2,5,4,1,4,1,4,3,2,2,4,3,5,1,1,1,4,22.217222,410.1516
"34",  96,1,25.89462,"f",1,4,3,4,4,1,2,4,3,2,1,4,2,2,1,1,2,2,3,2,2,3,5,2,3,2,3,5,3,2,3,4,3,5,2,1,2,3,2,30.647494,412.6009
"35",   9,1,35.10265,"m",2,1,5,2,2,4,1,3,3,3,4,1,1,3,4,2,5,1,2,3,3,1,2,2,4,3,1,2,2,4,4,1,5,2,3,3,1,3,3,18.466684,402.7267
"36", 374,1,29.75936,"f",3,3,4,5,3,1,4,3,5,5,1,2,1,5,1,3,4,2,5,3,5,5,4,4,3,1,4,4,5,3,2,3,5,2,4,1,5,2,3,28.005141,399.8891
"37", 514,1,37.81624,"m",2,3,3,2,3,2,2,1,2,3,4,3,3,5,1,1,4,2,2,2,2,3,3,3,5,2,4,3,2,5,2,3,2,3,3,3,3,2,4,23.517041,370.0242
"38", 567,1,29.76572,"f",2,1,5,5,3,2,2,3,4,5,1,2,3,5,2,2,5,5,4,2,3,3,1,3,5,2,2,4,2,5,1,5,5,4,5,1,2,5,5,26.472643,310.4938
"39", 392,1,47.32298,"m",3,1,3,4,3,4,4,4,5,4,1,5,5,3,1,5,3,5,5,1,4,5,4,4,3,1,3,5,5,2,1,3,4,4,3,1,5,4,4,23.046390,357.6740
"40", 847,1,24.96746,"f",1,2,5,5,2,2,3,2,4,3,2,4,2,3,1,3,4,2,3,1,2,4,2,4,2,2,4,3,3,4,1,2,4,3,5,2,5,1,4,21.713370,351.3779
"41", 928,1,31.30338,"f",3,3,4,3,5,1,2,2,4,3,2,3,3,3,2,5,5,2,2,3,2,2,1,2,4,1,3,2,5,3,4,3,2,4,2,2,4,2,3,28.013451,291.8505
"42", 250,1,27.29408,"m",3,3,4,3,3,4,4,5,2,3,4,2,4,4,4,2,4,5,4,2,4,3,4,4,3,3,3,4,2,5,4,3,5,3,4,4,3,4,5,26.320018,341.3632
"43", 192,1,36.06875,"f",1,2,5,4,2,2,4,3,3,5,1,1,5,4,2,2,5,5,4,2,5,1,4,5,5,2,2,3,5,5,3,3,5,3,5,2,4,5,5,23.533278,409.6254
"44", 515,1,30.94363,"m",1,2,5,4,3,1,1,3,2,5,2,4,5,4,2,5,4,4,3,3,5,2,2,5,3,1,3,3,5,4,2,2,2,4,4,3,3,5,5,24.306131,430.6313
"45", 278,1,26.95655,"f",1,1,4,5,1,2,4,1,5,3,3,3,1,3,1,1,5,1,5,2,4,2,1,3,5,2,2,1,3,5,1,2,4,3,2,1,2,1,4,24.136133,474.2291
"46", 793,1,45.56271,"m",1,4,5,4,2,1,4,2,5,4,1,2,4,5,2,2,4,2,3,2,3,2,3,4,4,1,3,4,4,4,4,4,3,4,5,2,4,3,5,16.699392,296.4699
"47",  84,1,37.61661,"m",1,5,5,3,4,1,3,5,5,5,2,5,4,5,4,5,2,3,3,1,3,5,4,5,3,1,5,3,5,4,3,4,4,3,4,1,5,5,4,20.070254,379.5825
"48", 777,1,21.57200,"f",3,4,5,3,4,2,1,5,2,5,3,5,5,4,2,3,5,3,2,2,2,4,3,2,5,4,3,3,2,5,2,5,2,2,4,4,4,2,5,17.746485,403.1220
"49", 208,1,54.60496,"m",1,4,3,3,1,1,3,3,5,4,4,2,3,3,1,3,5,2,2,3,5,5,4,5,5,3,5,1,4,3,2,3,3,4,4,2,3,2,5,18.067951,478.8639
"50", 194,1,38.77867,"f",2,5,3,5,2,2,4,2,5,4,4,5,1,5,3,4,5,2,5,1,3,5,1,4,5,2,5,1,4,5,2,3,3,1,2,2,5,3,4,20.792330,347.6418
"51", 754,1,34.34196,"f",4,4,5,3,5,1,4,5,5,5,3,3,5,4,2,4,4,5,5,3,5,4,5,5,3,2,2,5,5,2,1,5,4,5,3,2,4,5,4,19.525397,380.6577
"52", 523,1,23.54653,"f",3,3,5,5,4,1,3,3,4,4,4,1,3,5,1,3,5,5,4,2,3,4,4,2,5,3,4,5,5,4,2,3,4,5,4,3,5,4,5,30.665116,348.1227
"53", 805,1,41.03097,"m",3,4,3,2,3,4,4,4,4,4,3,2,2,5,3,4,3,2,3,2,3,3,4,2,4,4,4,5,4,4,4,4,3,4,2,3,4,3,5,22.037471,381.2953
"54", 159,1,52.76465,"f",4,3,5,5,1,4,3,1,5,5,3,3,1,5,2,4,3,1,5,3,5,4,1,5,5,3,3,2,4,3,2,4,5,1,5,2,2,2,5,28.737017,444.7126
"55",   5,1,36.24633,"nb",2,3,5,4,4,2,4,3,5,5,1,2,4,4,1,1,5,4,5,1,3,2,4,4,5,2,4,5,5,5,1,5,5,4,5,1,3,5,3,24.531228,329.5751
"56", 856,1,38.38892,"m",2,2,3,2,4,1,2,5,4,3,2,5,5,2,3,2,4,5,4,3,5,4,4,3,3,4,4,2,4,2,2,3,4,4,3,1,4,3,2,21.032073,419.3545
"57", 943,1,46.92450,"f",1,3,5,4,3,1,3,3,3,5,2,2,1,5,1,4,5,1,4,1,3,4,3,4,5,3,4,5,2,5,1,5,2,3,5,1,5,2,5,15.176909,410.3399
"58", 795,1,29.81648,"f",3,1,4,5,5,1,1,5,4,3,1,2,4,5,2,1,4,4,5,3,5,1,5,3,3,2,2,5,5,4,1,1,5,5,4,1,2,5,3,19.224880,506.0774
"59", 859,1,35.21842,"f",3,3,5,5,2,4,3,3,4,4,3,2,2,2,4,2,5,2,5,2,5,2,2,3,3,4,1,2,5,4,2,1,5,3,4,2,1,1,3,24.319590,353.1920
"60", 807,1,46.98635,"m",3,3,4,5,3,3,2,3,4,4,2,5,4,4,1,3,5,2,5,3,3,5,2,5,4,3,3,5,4,5,3,3,4,3,3,2,3,3,2,16.362960,390.9447
"61", 662,1,19.08001,"m",1,4,4,5,4,1,4,2,4,3,2,5,5,5,3,4,3,5,5,3,5,2,5,2,4,3,5,5,4,2,1,1,4,4,5,2,4,3,4,24.470443,358.0291
"62", 667,1,39.11058,"m",3,2,4,3,3,4,3,1,2,3,3,2,4,5,3,4,4,2,2,3,2,1,3,2,5,3,2,3,2,5,3,3,2,3,5,3,3,2,5,11.339368,424.9978
"63", 494,1,46.85332,"m",1,2,5,2,5,2,1,4,2,4,2,2,5,5,4,4,4,3,5,2,2,2,4,5,5,2,3,4,2,5,1,1,3,4,5,3,2,4,4,18.768983,312.2755
"64", 801,1,49.61707,"m",1,2,4,3,5,1,3,4,5,2,2,2,2,2,1,2,2,3,3,1,2,3,3,3,2,1,3,3,2,2,1,4,3,1,3,1,1,4,4,17.973885,410.2713
"65", 464,1,35.17554,"m",3,1,2,3,3,2,3,2,2,3,2,2,2,4,2,2,5,3,3,2,2,2,3,2,5,1,5,5,2,2,2,4,3,1,5,1,3,3,3,23.735624,340.2852
"66", 396,1,37.46084,"m",3,1,3,3,2,1,1,1,3,4,1,2,3,3,1,2,4,2,4,1,3,1,3,4,3,2,3,2,2,4,1,2,3,3,2,1,1,3,4,14.984325,428.1671
"67", 591,1,29.35636,"m",3,3,4,3,1,4,2,1,3,3,4,3,1,4,4,3,5,1,3,4,3,3,1,5,5,2,3,2,3,4,4,2,2,1,2,4,1,1,3,24.120851,397.3132
"68", 539,1,47.82559,"m",2,2,5,3,2,1,2,4,3,3,1,1,5,5,2,2,4,4,2,1,3,2,4,2,4,2,1,3,5,5,2,1,2,5,4,3,3,4,5,21.579891,429.2152
"69", 790,1,40.34535,"f",3,3,4,5,3,4,3,3,5,3,1,2,2,5,4,4,4,4,5,3,5,5,3,5,2,4,2,4,5,3,3,1,5,4,3,4,4,1,2,19.902912,414.6441
"70", 684,1,29.62971,"m",2,2,3,4,3,1,1,3,5,3,1,2,2,2,1,1,4,2,4,3,4,1,4,5,3,3,2,4,5,3,2,2,4,4,4,3,2,4,2,15.262536,337.6883
"71", 257,1,39.05328,"m",2,2,2,4,3,1,2,2,2,3,1,3,1,2,2,3,4,3,3,3,3,3,4,3,2,1,2,2,4,3,3,4,2,2,2,1,4,1,3,21.643337,397.4974
"72", 918,1,40.82456,"m",2,1,2,3,3,1,1,3,4,2,1,2,2,2,1,1,2,3,3,3,4,1,5,2,2,2,1,5,3,2,1,1,5,5,2,1,2,2,2,24.066632,472.5765
"73", 480,1,44.70666,"f",3,5,2,5,2,2,4,2,3,3,2,3,1,4,4,4,3,3,5,1,5,4,3,5,2,3,5,3,4,4,1,2,5,3,3,3,4,2,2,17.622887,397.5771
"74", 638,1,28.74101,"m",4,2,2,5,2,3,1,1,5,4,3,3,3,3,2,3,4,3,5,4,5,2,1,3,4,4,1,1,4,4,4,1,5,4,4,4,2,2,4,25.651538,421.0559
"75", 922,1,35.92819,"f",4,1,5,4,4,3,2,5,3,4,3,1,3,5,4,2,4,3,3,4,5,3,4,4,4,4,3,4,4,4,4,1,3,2,5,4,2,4,5,21.315757,373.7624
"76", 673,1,27.76618,"m",3,1,4,5,1,2,2,3,5,5,1,1,1,5,2,1,5,4,3,4,4,1,3,5,5,2,1,3,5,5,2,1,5,3,5,2,1,3,4,22.255021,355.3123
"77", 377,1,35.47522,"m",3,4,3,4,2,4,4,1,3,5,2,2,1,4,1,2,2,2,4,4,4,3,3,4,2,4,2,2,3,4,4,2,3,1,4,4,2,1,3,22.693836,385.3775
"78", 623,1,33.44013,"m",4,5,2,5,4,1,4,5,4,2,3,3,1,3,2,4,2,2,4,2,5,5,1,3,2,3,4,4,3,5,4,4,4,4,4,3,4,2,2,15.931115,452.1376
"79",  59,1,21.82417,"f",3,5,5,5,4,3,5,4,5,4,4,5,3,5,3,4,5,5,4,2,4,4,4,4,5,3,5,4,3,5,1,5,4,4,4,2,5,3,4,27.565428,494.2295
"80", 507,1,52.95826,"m",3,3,4,5,3,3,2,3,3,4,1,4,3,3,3,3,5,3,2,3,4,2,2,3,4,4,3,2,2,5,4,3,3,4,5,2,1,3,2,21.781083,307.5994
"81", 137,1,20.90424,"m",2,2,5,4,4,2,1,1,4,5,3,1,3,5,2,2,5,3,3,3,4,5,1,5,4,4,1,3,3,5,1,2,4,3,5,3,3,1,4,25.917082,432.9384
"82", 260,1,22.27492,"m",1,2,5,5,5,1,3,4,3,5,1,5,4,4,1,5,4,2,4,1,4,3,3,5,5,1,3,3,4,2,1,3,5,3,4,1,3,3,3,27.268364,361.7074
"83", 206,1,23.63289,"m",4,3,4,4,2,4,1,2,3,4,1,2,1,5,1,2,4,4,4,3,4,3,2,4,4,2,3,2,3,5,4,3,5,5,2,2,3,1,4,22.012536,350.4558
"84", 563,1,18.09377,"nb",2,5,5,2,2,2,4,1,3,5,4,3,5,3,1,3,5,1,4,2,5,3,1,5,4,3,5,2,5,5,1,3,5,3,5,3,4,3,5,24.937146,433.5024
"85", 630,1,40.95761,"f",1,3,2,5,1,2,4,1,3,3,2,2,1,4,1,1,3,2,3,2,4,3,1,3,3,1,4,2,4,3,1,3,3,2,3,1,3,2,3,17.166404,374.4225
"86", 549,1,51.46039,"m",4,2,5,2,3,4,2,3,3,4,3,2,3,5,3,2,4,4,2,2,3,2,2,2,5,1,1,5,4,5,2,2,3,1,4,3,1,5,3,18.758279,295.5214
"87", 838,1,47.33978,"m",4,4,5,2,5,4,4,5,2,5,4,4,3,4,3,4,4,4,2,4,3,5,4,2,3,4,5,3,3,5,4,4,2,3,5,4,5,4,4,20.193196,365.6923
"88", 197,1,27.92690,"f",4,3,5,2,4,4,4,5,2,5,4,4,5,5,4,5,4,3,2,4,2,4,2,3,5,4,5,3,2,4,4,5,3,4,4,4,5,4,3,12.248364,516.8591
"89", 997,1,18.32178,"m",3,5,2,3,2,3,5,4,3,2,1,3,3,2,1,4,2,3,4,1,3,2,5,3,3,3,4,4,3,3,2,2,3,4,3,2,5,2,2,18.135558,363.2590
"90", 107,1,54.97156,"m",3,4,4,3,2,1,1,3,3,5,2,3,4,4,1,4,3,1,4,2,2,5,1,3,4,1,5,3,5,5,4,3,2,1,4,1,5,2,4,14.399410,374.4610
"91", 641,1,34.68129,"m",2,1,4,4,3,4,1,3,5,4,1,1,4,5,2,2,5,5,4,2,2,3,3,2,4,4,1,4,3,5,1,2,4,2,5,1,3,4,5,26.503312,430.0891
"92", 258,1,31.79550,"m",2,3,3,5,4,1,4,4,4,2,2,3,3,3,3,4,3,5,4,3,3,4,4,4,5,1,2,5,4,4,4,3,4,5,4,2,3,3,3,26.540066,347.7870
"93", 860,1,49.17725,"f",1,1,5,5,3,4,4,3,5,3,2,4,2,3,2,2,5,4,5,2,5,4,3,5,3,3,2,3,5,5,2,3,5,4,4,2,3,1,5,20.936382,436.7937
"94", 818,1,49.28474,"m",1,2,2,4,2,2,2,4,4,4,1,3,3,4,1,1,4,2,4,1,5,2,2,5,4,3,1,4,4,4,2,2,4,2,5,2,2,3,4,22.214898,396.1533
"95", 878,1,28.92994,"f",1,2,5,5,3,1,3,3,5,3,2,4,3,4,1,2,3,5,5,2,5,3,2,4,4,3,4,3,5,4,2,3,3,4,5,1,5,3,4,24.765775,356.5065
"96", 869,1,25.77329,"f",2,3,3,5,2,2,2,2,4,2,2,2,3,3,3,4,2,3,4,3,5,2,3,5,3,1,5,3,5,2,2,2,4,3,2,1,2,3,3,19.743279,438.0649
"97", 980,1,31.56224,"m",1,5,4,3,1,2,4,3,3,5,2,4,3,5,3,5,5,3,4,1,3,3,4,4,5,1,4,3,4,4,1,5,2,3,5,2,3,3,3,24.129971,450.2609
"98", 456,1,36.98549,"m",4,3,4,2,1,4,3,1,2,5,3,4,1,4,3,3,5,1,4,4,2,4,1,4,4,3,3,1,4,2,1,4,4,1,4,3,4,1,2,23.958853,406.4872
"99", 385,1,23.79898,"f",1,5,2,2,3,2,5,2,3,3,4,5,1,4,4,5,3,1,3,2,4,5,1,5,2,4,4,4,2,4,3,5,4,4,3,1,4,4,4,25.608697,474.1110
"100", 333,1,34.22614,"f",1,1,3,4,2,1,1,1,3,2,1,2,1,2,1,3,2,2,3,1,4,3,1,4,3,1,3,1,3,2,1,1,5,1,3,2,3,1,2,24.276910,342.0135
"101", 441,1,37.62015,"f",2,3,2,4,3,3,5,2,4,3,3,4,3,2,3,4,1,2,3,2,5,3,4,2,1,4,5,2,2,2,2,4,5,2,1,3,3,3,1,18.439291,410.1003
"102", 431,1,49.50895,"f",1,5,2,3,3,1,5,2,3,2,1,4,3,3,1,5,3,5,2,1,2,5,3,4,3,1,4,5,2,3,1,4,3,4,3,1,3,3,3,16.150708,348.8447
"103", 779,1,18.37043,"m",1,4,5,2,5,1,5,5,2,5,1,2,4,5,1,4,5,4,2,2,4,4,5,2,5,1,5,5,3,5,1,4,3,5,5,1,5,5,5,25.491536,333.9662
"104", 768,1,45.30922,"f",1,3,4,3,5,1,5,5,4,5,2,3,5,4,1,3,5,4,4,2,3,4,5,4,4,1,2,5,4,5,2,3,4,5,4,1,3,5,5,16.924577,406.5758
"105", 221,1,47.51750,"f",2,3,2,4,5,4,5,3,5,3,2,5,5,2,2,5,4,5,5,1,4,3,5,3,4,3,5,5,4,2,2,4,2,4,4,2,5,3,4,16.057603,407.4800
"106",   7,1,44.21157,"f",4,5,3,2,5,4,5,5,5,3,4,5,4,4,4,4,3,3,2,4,2,4,5,3,5,3,5,4,2,4,4,5,3,5,2,3,5,3,3,15.511425,484.2599
"107", 524,1,49.72171,"f",1,5,5,2,5,3,5,5,1,5,3,5,4,5,2,4,5,5,1,4,1,5,5,3,5,1,4,5,1,5,1,4,2,4,5,3,5,5,5,15.645684,468.3294
"108", 184,1,49.38538,"f",2,2,1,4,5,2,2,5,4,3,3,5,5,2,2,2,1,5,2,1,2,2,3,3,2,3,2,5,2,3,3,4,2,4,2,1,4,4,1,13.458295,419.3815
"109", 162,1,41.15499,"f",4,4,2,5,5,3,3,5,4,2,3,3,3,3,1,4,3,4,5,1,4,3,5,5,1,2,3,4,4,3,1,4,3,5,1,4,4,5,4,18.035122,388.8121
"110", 175,1,19.17801,"m",2,3,3,4,4,1,2,3,4,3,1,3,3,3,2,2,2,2,4,1,5,2,2,4,2,3,2,2,5,2,2,3,5,2,2,2,2,2,1,22.051336,342.5070
"111", 269,1,38.55146,"f",2,5,5,2,4,4,4,4,3,3,3,4,4,4,3,2,4,3,1,3,1,4,3,1,5,3,3,3,2,4,3,3,1,3,4,4,3,3,4,15.045739,443.9739
"112", 864,1,47.78262,"f",3,5,4,1,2,4,5,3,1,4,3,5,5,4,3,4,4,3,1,3,1,5,5,3,4,4,5,3,3,2,4,5,2,4,3,4,4,3,3,15.985510,350.4263
"113", 367,1,37.39692,"m",1,5,4,3,4,1,5,5,2,3,1,3,2,4,1,3,4,4,3,1,3,5,4,4,5,1,5,4,3,2,1,5,3,5,3,1,4,3,5,17.654042,273.0264
"114", 555,1,41.22903,"f",2,3,5,3,5,1,2,5,1,3,1,2,4,4,1,4,4,5,4,1,1,2,5,5,3,1,2,5,4,2,1,2,2,5,3,1,2,5,3,17.511779,402.4320
"115", 745,1,20.66929,"m",1,5,2,1,4,2,4,4,1,3,1,5,5,2,2,5,3,5,1,3,2,5,5,4,3,1,4,4,5,3,1,4,3,5,3,2,5,5,1,21.766357,327.2599
"116", 100,1,29.97776,"m",3,5,2,2,3,2,4,5,2,1,3,5,5,1,3,5,1,4,1,4,2,5,4,3,1,3,3,4,2,1,3,5,3,5,1,3,3,5,1,14.576647,425.8703
"117", 469,1,44.16289,"f",1,3,4,1,5,1,3,4,2,4,1,2,4,2,3,2,2,5,2,2,4,3,5,2,5,2,3,4,1,2,3,2,1,3,2,1,2,4,4,21.809746,458.2555
"118", 724,1,25.16984,"m",4,4,2,4,5,4,4,5,5,2,4,4,5,2,4,5,1,5,5,4,3,4,5,4,4,4,3,5,5,3,4,4,3,5,3,4,4,5,5,15.876602,465.1302
"119", 587,1,19.93759,"m",1,5,1,4,5,1,4,5,4,1,1,5,5,2,1,5,1,4,4,1,5,5,5,5,2,1,5,3,5,2,1,5,5,5,2,1,5,3,1,20.551384,432.0033
"120", 862,1,30.87905,"f",4,4,5,3,4,4,5,3,3,5,3,5,4,3,4,3,5,3,2,3,4,3,3,2,3,4,5,3,4,2,4,4,4,5,3,4,5,4,3,23.382135,399.7025
"121", 163,1,21.86243,"f",1,5,3,4,5,2,5,5,2,2,1,5,5,4,1,5,4,5,3,1,4,5,5,2,5,1,5,5,4,3,2,5,4,5,3,1,4,5,4,23.673563,383.6025
"122", 870,1,18.90404,"m",1,3,3,4,5,1,5,4,2,2,2,5,5,1,1,5,3,5,3,3,2,5,5,1,3,2,5,5,1,3,1,5,2,4,3,2,3,5,2,18.985001,395.2790
"123", 733,1,43.53400,"m",3,3,4,4,2,2,5,2,4,4,1,5,3,4,2,5,4,4,4,3,3,4,3,4,4,3,4,3,4,3,3,3,5,2,4,3,4,2,3,19.245265,400.4252
"124", 627,1,42.79123,"m",3,2,4,2,4,3,5,5,2,4,3,4,5,5,1,4,3,4,4,3,1,4,5,2,3,3,4,5,2,4,3,4,3,4,2,2,4,4,3,20.315511,421.8208
"125", 228,1,31.25890,"f",2,4,3,2,4,3,2,4,1,2,2,2,3,3,1,4,3,3,3,3,1,4,2,1,1,2,2,3,2,1,3,2,1,4,4,4,3,5,3,24.624315,500.9953
"126", 327,1,52.07017,"m",3,5,1,4,3,3,5,2,3,1,3,5,3,3,3,4,4,2,5,3,1,5,2,5,2,2,5,2,4,3,4,5,2,4,2,3,4,3,3,19.179589,382.4869
"127", 550,1,47.02608,"m",1,3,1,4,4,1,5,5,4,2,1,3,5,4,1,3,1,5,3,1,2,3,5,1,2,1,4,5,2,4,1,3,2,5,1,1,2,3,3,18.063994,481.5227
"128", 832,1,51.85382,"m",3,5,2,5,5,2,4,5,3,2,2,5,5,1,1,5,4,5,4,1,5,5,4,5,1,2,4,4,4,3,2,5,5,5,1,1,5,5,3,15.099463,385.7471
